COUNTYNAME,TOWNNAME,Elderly65,Institutions,Beds,BedsPer1000
新北市,金山區,4182,0,0,0.0
新北市,雙溪區,2459,0,0,0.0
新北市,鶯歌區,14099,3,136,9.6
新竹市,北區,26167,6,419,16.0
新竹市,東區,31765,2,73,2.3
新竹市,香山區,12451,3,125,10.0
新竹縣,五峰鄉,698,0,0,0.0
新竹縣,北埔鄉,2069,0,0,0.0
新竹縣,寶山鄉,2738,0,0,0.0
新竹縣,尖石鄉,1070,0,0,0.0
新竹縣,峨眉鄉,1535,0,0,0.0
新竹縣,新埔鎮,7343,0,0,0.0
新竹縣,新豐鄉,8212,0,0,0.0
新竹縣,橫山鄉,3066,0,0,0.0
新竹縣,湖口鄉,12324,0,0,0.0
新竹縣,竹北市,20601,0,0,0.0
新竹縣,竹東鎮,16012,0,0,0.0
新竹縣,芎林鄉,4169,0,0,0.0
新竹縣,關西鎮,6251,0,0,0.0
桃園市,中壢區,68639,5,201,2.9
桃園市,八德區,34243,1,40,1.2
桃園市,大園區,13429,2,93,6.9
桃園市,大溪區,17580,2,92,5.2
桃園市,平鎮區,36683,4,373,10.2
桃園市,復興區,2007,0,0,0.0
桃園市,新屋區,10182,4,176,17.3
桃園市,桃園區,74752,22,1000,13.4
桃園市,楊梅區,27599,4,514,18.6
桃園市,蘆竹區,23323,6,440,18.9
桃園市,觀音區,11313,0,0,0.0
桃園市,龍潭區,22596,10,742,32.8
桃園市,龜山區,29129,8,311,10.7
澎湖縣,七美鄉,825,0,0,0.0
澎湖縣,望安鄉,1319,0,0,0.0
澎湖縣,湖西鄉,3255,1,49,15.1
澎湖縣,白沙鄉,2219,2,85,38.3
澎湖縣,西嶼鄉,2128,0,0,0.0
澎湖縣,馬公市,11729,1,72,6.1
臺中市,中區,4045,3,113,27.9
臺中市,北區,29549,5,407,13.8
臺中市,北屯區,46978,10,600,12.8
臺中市,南區,19693,3,247,12.5
臺中市,南屯區,24077,2,92,3.8
臺中市,后里區,9714,2,95,9.8
臺中市,和平區,2371,0,0,0.0
臺中市,外埔區,5562,3,294,52.9
臺中市,大安區,3607,0,0,0.0
臺中市,大甲區,13642,2,209,15.3
臺中市,大肚區,9983,0,0,0.0
臺中市,大里區,33221,3,395,11.9
臺中市,大雅區,13483,1,49,3.6
臺中市,太平區,31499,0,0,0.0
臺中市,新社區,5265,0,0,0.0
臺中市,東勢區,11504,1,49,4.3
臺中市,東區,14702,3,145,9.9
臺中市,梧棲區,9410,2,108,11.5
臺中市,沙鹿區,14077,2,72,5.1
臺中市,清水區,15929,0,0,0.0
臺中市,潭子區,17009,1,49,2.9
臺中市,烏日區,12531,4,179,14.3
臺中市,石岡區,3294,0,0,0.0
臺中市,神岡區,11324,1,48,4.2
臺中市,西區,22744,4,160,7.0
臺中市,西屯區,34874,5,243,7.0
臺中市,豐原區,29972,6,390,13.0
臺中市,霧峰區,12524,1,39,3.1
臺中市,龍井區,11665,1,46,3.9
臺北市,中山區,51973,9,317,6.1
臺北市,中正區,33645,4,126,3.7
臺北市,信義區,51320,2,57,1.1
臺北市,內湖區,52695,6,211,4.0
臺北市,北投區,53565,26,1258,23.5
臺北市,南港區,23671,1,20,0.8
臺北市,士林區,63863,10,783,12.3
臺北市,大同區,27379,10,401,14.6
臺北市,大安區,72468,7,242,3.3
臺北市,文山區,54449,14,1304,23.9
臺北市,松山區,46096,4,131,2.8
臺北市,萬華區,43334,7,551,12.7
臺南市,七股區,4895,0,0,0.0
臺南市,下營區,5659,1,48,8.5
臺南市,中西區,16934,6,317,18.7
臺南市,仁德區,14354,7,279,19.4
臺南市,佳里區,11903,7,327,27.5
臺南市,六甲區,4858,0,0,0.0
臺南市,北區,25111,8,428,17.0
臺南市,北門區,2324,0,0,0.0
