COUNTYNAME,TOWNNAME,Elderly65
臺南市,六甲區,4858
臺南市,北區,25111
臺南市,北門區,2324
臺南市,南化區,2204
臺南市,南區,26594
臺南市,善化區,8807
臺南市,大內區,2575
臺南市,學甲區,5552
臺南市,安南區,31075
臺南市,安定區,5658
臺南市,安平區,10525
臺南市,官田區,4373
臺南市,將軍區,4686
臺南市,山上區,1666
臺南市,左鎮區,1355
臺南市,後壁區,6246
臺南市,新化區,8882
臺南市,新市區,6185
臺南市,新營區,15684
臺南市,東區,34497
臺南市,東山區,5290
臺南市,柳營區,4947
臺南市,楠西區,2462
臺南市,歸仁區,12209
臺南市,永康區,36323
臺南市,玉井區,3557
臺南市,白河區,7325
臺南市,西港區,5039
臺南市,關廟區,7685
臺南市,鹽水區,5707
臺南市,麻豆區,9825
臺南市,龍崎區,1144
臺東縣,卑南鄉,3472
臺東縣,大武鄉,1110
臺東縣,太麻里鄉,2402
臺東縣,延平鄉,402
臺東縣,成功鎮,3201
臺東縣,東河鄉,2127
臺東縣,池上鄉,1960
臺東縣,海端鄉,475
臺東縣,綠島鄉,612
臺東縣,臺東市,19435
臺東縣,蘭嶼鄉,525
臺東縣,達仁鄉,564
臺東縣,金峰鄉,496
臺東縣,長濱鄉,1817
臺東縣,關山鎮,1924
臺東縣,鹿野鄉,1762
花蓮縣,光復鄉,3212
花蓮縣,卓溪鄉,728
花蓮縣,吉安鄉,16471
花蓮縣,壽豐鄉,4024
花蓮縣,富里鄉,2524
花蓮縣,新城鄉,3572
花蓮縣,玉里鎮,5317
花蓮縣,瑞穗鄉,2879
花蓮縣,秀林鄉,1980
花蓮縣,花蓮市,19593
花蓮縣,萬榮鄉,769
花蓮縣,豐濱鄉,1071
花蓮縣,鳳林鎮,2972
苗栗縣,三灣鄉,1541
苗栗縣,三義鄉,3230
苗栗縣,公館鄉,6697
苗栗縣,卓蘭鎮,3911
苗栗縣,南庄鄉,2206
苗栗縣,大湖鄉,3217
苗栗縣,後龍鎮,6946
苗栗縣,泰安鄉,984
苗栗縣,獅潭鄉,1272
苗栗縣,竹南鎮,13192
苗栗縣,苑裡鎮,8350
苗栗縣,苗栗市,18082
苗栗縣,西湖鄉,1695
苗栗縣,通霄鎮,7471
苗栗縣,造橋鄉,2735
苗栗縣,銅鑼鄉,3805
苗栗縣,頭份市,16436
苗栗縣,頭屋鄉,2398
連江縣,北竿鄉,491
連江縣,南竿鄉,1284
連江縣,東引鄉,175
連江縣,莒光鄉,294
金門縣,烈嶼鄉,2594
金門縣,烏坵鄉,81
金門縣,金城鎮,8349
金門縣,金寧鄉,5373
金門縣,金沙鎮,4372
金門縣,金湖鎮,5437
雲林縣,二崙鄉,6248
雲林縣,元長鄉,6408
