COUNTYNAME,TOWNNAME,Population,Restaurants,PeoplePerStore,PopChange
高雄市,大樹區,39366,231,170,-248
彰化縣,大村鄉,38919,179,217,-555
基隆市,暖暖區,38434,216,178,126
臺南市,新市區,38279,861,44,366
彰化縣,田中鎮,38149,215,177,-528
彰化縣,伸港鄉,38145,170,224,-277
彰化縣,秀水鄉,37356,171,218,-417
雲林縣,北港鎮,37053,365,102,-459
宜蘭縣,礁溪鄉,36629,500,73,1230
宜蘭縣,蘇澳鎮,36413,404,90,-469
高雄市,美濃區,36074,164,220,-471
新北市,瑞芳區,35623,311,115,-707
高雄市,梓官區,34701,150,231,-91
南投縣,名間鄉,34490,170,203,-575
彰化縣,永靖鄉,34177,145,236,-487
高雄市,大社區,33741,292,116,-13
新竹縣,新埔鎮,33561,181,185,97
苗栗縣,後龍鎮,33517,210,160,-171
高雄市,旗山區,33367,199,168,-451
臺南市,關廟區,33180,288,115,150
金門縣,金寧鄉,33117,100,331,-353
彰化縣,北斗鎮,33099,337,98,-139
彰化縣,埔心鄉,33082,155,213,-284
宜蘭縣,員山鄉,32216,169,191,239
嘉義縣,竹崎鄉,32145,176,183,-599
屏東縣,新園鄉,31696,131,242,-495
臺中市,外埔區,30823,82,376,-79
苗栗縣,通霄鎮,30618,163,188,-275
苗栗縣,公館鄉,30461,160,190,-410
彰化縣,埔鹽鄉,30040,50,601,-506
彰化縣,芳苑鄉,29880,83,360,-734
臺南市,安定區,29783,697,43,-59
金門縣,金湖鎮,29642,191,155,-633
嘉義縣,大林鎮,29542,241,123,-68
高雄市,湖內區,29295,153,191,-101
屏東縣,長治鄉,29192,126,232,-37
雲林縣,古坑鄉,29188,285,102,-361
嘉義縣,新港鄉,29006,142,204,-611
屏東縣,恆春鎮,28770,504,57,-605
高雄市,茄萣區,28732,103,279,-227
高雄市,燕巢區,28103,250,112,-208
彰化縣,埤頭鄉,27997,112,250,-487
宜蘭縣,頭城鎮,27868,280,100,-114
高雄市,前金區,27670,476,58,471
彰化縣,溪州鄉,27248,96,284,-447
雲林縣,土庫鎮,27234,111,245,-127
雲林縣,莿桐鄉,27201,104,262,-249
高雄市,阿蓮區,26703,125,214,-346
新竹縣,關西鎮,26003,184,141,-377
彰化縣,田尾鄉,25251,79,320,-274
屏東縣,里港鄉,24948,101,247,-399
高雄市,旗津區,24906,90,277,-681
臺南市,白河區,24894,304,82,-440
臺南市,西港區,24803,217,114,-192
宜蘭縣,壯圍鄉,24479,135,181,10
臺南市,學甲區,24365,293,83,-172
雲林縣,二崙鄉,24165,51,474,-477
雲林縣,口湖鄉,23945,54,443,-647
臺南市,鹽水區,23635,333,71,-334
新北市,深坑區,23592,209,113,10
嘉義縣,布袋鎮,23589,163,145,-532
屏東縣,鹽埔鄉,23106,75,308,-423
臺中市,新社區,22579,112,202,-270
雲林縣,元長鄉,22478,57,394,-542
屏東縣,枋寮鄉,22321,150,149,-272
雲林縣,崙背鄉,22255,109,204,-344
新北市,三芝區,22061,137,161,-19
屏東縣,高樹鄉,21926,65,337,-401
高雄市,鹽埕區,21871,285,77,-404
臺南市,下營區,21742,228,95,-335
雲林縣,水林鄉,21698,43,505,-601
嘉義縣,東石鄉,21671,86,252,-530
屏東縣,九如鄉,21420,84,255,-132
宜蘭縣,三星鄉,21356,149,143,177
彰化縣,芬園鄉,21334,73,292,-438
花蓮縣,玉里鎮,20942,311,67,-352
臺南市,六甲區,20866,295,71,-228
臺南市,後壁區,20811,145,144,-441
雲林縣,臺西鄉,20778,43,483,-646
臺南市,官田區,20527,229,90,-142
臺南市,七股區,20487,76,270,-263
新竹縣,芎林鄉,20385,104,196,-19
花蓮縣,新城鄉,20348,301,68,170
雲林縣,四湖鄉,20210,60,337,-488
嘉義縣,六腳鄉,20044,63,318,-453
新北市,萬里區,20011,105,191,-406
臺南市,柳營區,19831,227,87,-176
新北市,金山區,19725,118,167,-334
金門縣,金沙鎮,19710,52,379,-857
屏東縣,萬巒鄉,18631,84,222,-355
臺南市,東山區,18490,135,137,-346
臺中市,中區,18022,723,25,125
高雄市,彌陀區,17715,71,250,-354
臺南市,將軍區,17598,122,144,-472
雲林縣,大埤鄉,17521,34,515,-273
臺中市,大安區,17487,62,282,-306
屏東縣,佳冬鄉,17317,61,284,-268
花蓮縣,秀林鄉,17177,175,98,83
嘉義縣,梅山鄉,17166,100,172,-322
花蓮縣,壽豐鄉,16591,374,44,-101
雲林縣,林內鄉,16283,71,229,-287
臺東縣,卑南鄉,16264,145,112,-208
澎湖縣,湖西鄉,16131,57,283,7
苗栗縣,銅鑼鄉,16079,127,127,-186
彰化縣,線西鄉,16014,47,341,-168
南投縣,國姓鄉,15963,111,144,-491
嘉義縣,義竹鄉,15829,67,236,-334
屏東縣,林邊鄉,15821,77,205,-266
南投縣,鹿谷鄉,15454,158,98,-378
南投縣,水里鄉,15452,177,87,-348
屏東縣,竹田鄉,15363,51,301,-218
南投縣,仁愛鄉,15293,177,86,-117
南投縣,信義鄉,14877,105,142,-283
新竹縣,寶山鄉,14588,492,30,54
苗栗縣,三義鄉,14485,155,93,-228
苗栗縣,卓蘭鎮,14483,85,170,-407
屏東縣,崁頂鄉,14459,25,578,-473
彰化縣,大城鄉,14139,39,363,-402
南投縣,魚池鄉,14072,255,55,-316
彰化縣,竹塘鄉,13918,34,409,-242
臺中市,石岡區,13668,62,220,-209
高雄市,永安區,13510,66,205,-313
嘉義縣,鹿草鄉,13369,60,223,-409
桃園市,復興區,13296,116,115,35
彰化縣,二水鄉,13220,42,315,-327
雲林縣,東勢鄉,12885,38,339,-312
南投縣,中寮鄉,12825,52,247,-369
臺東縣,成功鎮,12754,160,80,-172
臺南市,玉井區,12674,231,55,-156
嘉義縣,溪口鄉,12604,40,315,-340
高雄市,內門區,12519,46,272,-374
苗栗縣,大湖鄉,12302,110,112,-332
屏東縣,琉球鄉,12076,113,107,-114
金門縣,烈嶼鄉,12050,39,309,-488
新竹縣,橫山鄉,11901,73,163,-89
苗栗縣,造橋鄉,11548,55,210,-34
雲林縣,褒忠鄉,11490,36,319,-287
花蓮縣,光復鄉,11478,133,86,-56
高雄市,六龜區,11264,50,225,-227
嘉義縣,番路鄉,10582,51,207,-115
高雄市,杉林區,10569,25,423,-145
臺中市,和平區,10469,71,147,-187
新北市,貢寮區,10445,62,168,-274
屏東縣,麟洛鄉,10406,49,212,-77
花蓮縣,瑞穗鄉,10388,140,74,-196
臺東縣,太麻里鄉,10375,133,78,-194
花蓮縣,鳳林鎮,10132,147,69,-170
澎湖縣,白沙鄉,10084,54,187,-53
新北市,石門區,9982,52,192,-403
南投縣,集集鎮,9882,91,109,106
